symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
c2611,DCE,2026-09-23 14:28:00,2181.0,2181.0,2180.0,2180.0,304.0,0.0,1195002.0
c2611,DCE,2026-09-23 14:29:00,2180.0,2181.0,2180.0,2180.0,74.0,0.0,1194979.0
c2611,DCE,2026-09-23 14:30:00,2180.0,2181.0,2180.0,2181.0,591.0,0.0,1194973.0
c2611,DCE,2026-09-23 14:31:00,2181.0,2181.0,2180.0,2181.0,245.0,0.0,1194817.0
c2611,DCE,2026-09-23 14:32:00,2181.0,2181.0,2180.0,2180.0,194.0,0.0,1194833.0
c2611,DCE,2026-09-23 14:33:00,2180.0,2181.0,2180.0,2181.0,276.0,0.0,1194791.0
c2611,DCE,2026-09-23 14:34:00,2181.0,2182.0,2180.0,2182.0,3456.0,0.0,1194754.0
c2611,DCE,2026-09-23 14:35:00,2182.0,2183.0,2181.0,2182.0,3225.0,0.0,1195615.0
c2611,DCE,2026-09-23 14:36:00,2182.0,2182.0,2181.0,2182.0,338.0,0.0,1195647.0
c2611,DCE,2026-09-23 14:37:00,2182.0,2182.0,2181.0,2182.0,397.0,0.0,1195581.0
c2611,DCE,2026-09-23 14:38:00,2182.0,2182.0,2181.0,2182.0,1020.0,0.0,1195456.0
c2611,DCE,2026-09-23 14:39:00,2182.0,2183.0,2181.0,2182.0,1271.0,0.0,1195481.0
c2611,DCE,2026-09-23 14:40:00,2182.0,2182.0,2181.0,2181.0,120.0,0.0,1195434.0
c2611,DCE,2026-09-23 14:41:00,2181.0,2183.0,2181.0,2183.0,2302.0,0.0,1195425.0
c2611,DCE,2026-09-23 14:42:00,2183.0,2183.0,2182.0,2182.0,470.0,0.0,1194842.0
c2611,DCE,2026-09-23 14:43:00,2182.0,2183.0,2182.0,2182.0,1874.0,0.0,1194910.0
c2611,DCE,2026-09-23 14:44:00,2182.0,2184.0,2182.0,2184.0,2166.0,0.0,1194971.0
c2611,DCE,2026-09-23 14:45:00,2184.0,2184.0,2182.0,2183.0,5009.0,0.0,1194746.0
c2611,DCE,2026-09-23 14:46:00,2183.0,2184.0,2182.0,2183.0,1283.0,0.0,1193677.0
c2611,DCE,2026-09-23 14:47:00,2183.0,2183.0,2182.0,2183.0,142.0,0.0,1193405.0
