2026-09-24 10:01:01.700 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BEAR BB=EXPANSION direction=BEAR Final=SHORT reason=REGIME_SHORT
2026-09-24 10:03:01.389 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2174.1000 slow=2174.7500
2026-09-24 10:03:01.389 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=NEUTRAL BB=EXPANSION direction=BEAR Final=RANGE reason=REGIME_SHORT_MA_NEUTRAL
2026-09-24 10:04:01.769 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=EXPANSION new=NEUTRAL percentile=60.83% bw=0.002205107651268505 release_count=0 direction=BULL
2026-09-24 10:05:01.415 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2174.3000 slow=2174.8000
2026-09-24 10:05:01.415 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BULL BB=NEUTRAL direction=BULL Final=RANGE reason=REGIME_SHORT_MA_DIRECTION_CONFLICT
2026-09-24 10:06:01.783 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=NEUTRAL fast=2174.5000 slow=2174.8000
2026-09-24 10:06:01.783 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=NEUTRAL BB=NEUTRAL direction=BULL Final=RANGE reason=REGIME_SHORT_MA_NEUTRAL
2026-09-24 10:08:01.419 | INFO | CtaStrategy | [wqk27]  [V2.7 ENTRY FILTER] regime=RANGE signal=GOLDEN_CROSS action=BLOCK reason=NO_TREND ADX=SHORT BB=NEUTRAL MA=NEUTRAL fast=2174.8000 slow=2174.7000
2026-09-24 10:11:01.423 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2175.1000 slow=2174.6500
2026-09-24 10:11:01.424 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BULL BB=NEUTRAL direction=BULL Final=RANGE reason=REGIME_SHORT_MA_DIRECTION_CONFLICT
2026-09-24 10:12:01.729 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=31.907481224740764 +DI=15.591972963915426 -DI=15.257945435333706 candidate=LONG confirm=1/2 state=SHORT
